memory.max_usage_in_bytes,input_bam,guide|ref_hist,chromInfo,guide_gff,input_bam_extension,guide|ref_hist_extension,chromInfo_extension,guide_gff_extension,dbkey,rna_strandness,use_guide
689537024,398245455,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
634372096,344251909,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
374784000,87163710,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
361254912,157757168,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
368893952,154670148,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
363507712,151599911,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
456470528,175679251,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
379330560,167199610,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
376188928,165681976,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
316805120,93157987,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
369651712,84877571,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
318771200,81654524,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
304705536,80080683,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
423829504,228750970,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
467378176,263894334,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
464920576,263088693,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
314851328,82392439,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
368852992,148125135,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
372723712,154963948,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
435478528,150716718,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
384978944,177097984,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
381419520,168423593,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
381149184,168249219,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
315551744,87059075,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
1432780800,257923417,15631596,0,0,bam,gff3,nan,nan,?,--fr,yes
1761103872,430295921,15631596,0,0,bam,gff3,nan,nan,?,--fr,yes
1691746304,409933420,15631596,0,0,bam,gff3,nan,nan,?,--fr,yes
4994375680,1963312442,15631596,0,0,bam,gff3,nan,nan,?,--fr,yes
5056622592,2046677622,15631596,0,0,bam,gff3,nan,nan,?,--fr,yes
2129870848,1496468463,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1991155712,1368711101,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1953353728,1335048800,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
2540384256,1901064107,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
2185326592,1561659204,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
2079539200,1432763519,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1479168000,1142283495,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1827450880,1220103761,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1990246400,1496468463,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
1847468032,1368711101,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
1826816000,1335048800,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
2298818560,1901064107,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
2054606848,1561659204,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
1924755456,1432763519,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
1557028864,1142283495,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
1620836352,1220103761,58021345,0,0,bam,gtf,nan,nan,rn6,nan,yes
391524352,134468203,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
383328256,94230419,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
381038592,99195014,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
681644032,390112577,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
737996800,476710353,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
777211904,532367384,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
360116224,74689538,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
389615616,179042400,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
493891584,217689742,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
427610112,174971488,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
530534400,245383648,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
414568448,198070813,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
469016576,257009355,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
335200256,113360977,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
419274752,142478224,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
299626496,74178505,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
377364480,87509007,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
549634048,342587076,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
677916672,406675457,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
741134336,454149542,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
370663424,76491211,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
380395520,155650003,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
452476928,185709117,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
363765760,152148988,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
421076992,213014612,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
394706944,170660983,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
439795712,222255161,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
320172032,92424290,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
403509248,127880806,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
294359040,76905188,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
322134016,96649445,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
573317120,351884043,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
